episode,total_reward
1,-198.88331895856837
2,-218.05084482898172
3,-218.133475722459
4,-217.53374345519154
5,-224.2329078592772
6,-209.62343547929893
7,-213.35792869422022
8,-204.36235259722292
9,-230.49820484430637
10,-212.30094912098218
11,-205.26334450084494
12,-201.30400418618996
13,-203.06860393655307
14,-205.07018683729007
15,-196.81268823617188
16,-198.91654753822408
17,-201.16356014076518
18,-211.89255669433692
19,-201.9686941284999
20,-171.84061668600708
21,-193.47300863733605
22,-192.06348140277743
23,-218.65844930785494
24,-191.34535236273675
25,-199.28561630431267
26,-219.04196469212496
27,-189.2123663202455
28,-206.71129693158804
29,-182.2448478523269
30,-210.90349633588448
31,-190.46160754402774
32,-195.1700591196327
33,-190.15511029064604
34,-210.43505536777587
35,-199.91359206122695
36,-199.7513328132445
37,-207.84325510308543
38,-203.14855244399206
39,-197.07451137271534
40,-180.45393816164466
41,-201.19549889387773
42,-229.23183924724694
43,-201.36838755619726
44,-197.56155017872123
45,-204.64989604016273
46,-190.72575133393838
47,-195.46668923820926
48,-198.62262762791403
49,-198.99820541666102
50,-185.26853040987106
51,-222.33357471525142
52,-199.09102447426824
53,-205.20752228879974
54,-205.70437073750793
55,-190.46572490529365
56,-198.2529761099384
57,-184.00578042399485
58,-212.27916152951025
59,-189.78113538055135
60,-225.65028807887984
61,-201.6764571389247
62,-536.599053757797
63,-197.05932855361598
64,-196.04035786442296
65,-208.38553526195471
66,-200.9338558051263
67,-200.48482772233373
68,-194.49495430644572
69,-202.50579478867576
70,-205.45962655507853
71,-198.98456239921563
72,-198.03162191458793
73,-201.29275939162852
74,-184.1501740121365
75,-206.60577078528817
76,-198.0351598977485
77,-219.50231488725484
78,-209.5651898413966
79,-197.4216447298159
80,-205.6315279539917
81,-199.81133697344725
82,-189.97136133550123
83,-194.0069356560694
84,-199.31619982262197
85,-177.27080103866214
86,-190.5191601188468
87,-218.63811116907493
88,-202.9260975849087
89,-200.2446081876776
90,-213.66427861128602
91,-199.5473763194004
92,-179.0978179464113
93,-200.8115346243594
94,-181.20358027382218
95,-214.35966420743546
96,-200.76430327168714
97,-211.7886728989922
98,-194.73324867312192
99,-200.7202542202715
100,-203.46467109067964
101,-215.87449286850546
102,-215.0324336489062
103,-198.13490175274688
104,-199.7555191093843
105,-183.01479021129808
106,-151.1643004298586
107,-205.3117099052314
108,-214.23244074505618
109,-208.16607912756132
110,-221.45694452617056
111,-226.69481170108705
112,-183.51331736313978
113,-223.0017966674716
114,-220.88666233739968
115,-219.5737456931534
116,-208.0075930941149
117,-226.73367573287433
118,-196.45923538142387
119,-218.4589453313339
120,-204.37087733875674
121,-215.6527732060082
122,-168.349831181805
123,-237.42713730961432
124,-198.97807309101984
125,-216.50600137471463
126,-215.66162515070312
127,-214.0259081392048
128,-220.79273041887944
129,-320.37561873686866
130,-235.25673605025617
131,-206.80438572455
132,-201.42131865659874
133,-213.72031640014808
134,-205.184786651937
135,-199.188094729168
136,-199.85039467721862
137,-207.15646039488473
138,-221.13289109730982
139,-188.25514718251853
140,-201.3186052467854
141,-205.45851080376843
142,-201.44092665042066
143,-201.66529974499971
144,-206.13306696988667
145,-243.01939510170763
146,-219.94718930397386
147,-194.92896021981812
148,-211.81171415988936
149,-208.43632808511728
150,-200.68404243357332
151,-215.80503325473381
152,-213.6509386792638
153,-212.41740018234051
154,-205.44906367555967
155,-221.04653695247342
156,-203.0544958772457
157,-205.58145424674746
158,-203.01522562569917
159,-209.77633434261284
160,-213.05060913256509
161,-213.54390265275617
162,-209.535311285295
163,-211.3219259213884
