episode,total_reward
1,-384.59212903707083
2,-502.349232775945
3,-493.71194425873693
4,-484.17262670254013
5,-463.7809488363579
6,-510.3551667006578
7,-516.5158483186087
8,-481.26299542775723
9,-468.26918263364723
10,-505.42819714898326
11,-524.6549614275841
12,-535.5694296979927
13,-532.175697548459
14,-520.95502914334
15,-512.994165013688
16,-526.8672863552681
17,-543.2526824231226
18,-529.3478986749691
19,-531.3435567469897
20,-566.7114728026775
21,-552.6364263428569
22,-558.9395029055122
23,-533.808223958382
24,-541.6897783786482
25,-550.0303866278505
26,-553.6598769141277
27,-545.2878130092557
28,-535.6660953083044
29,-548.9045382580626
30,-563.6274372257908
31,-510.16588761724995
32,-535.7830350887662
33,-545.5963156430865
34,-530.1695698349986
35,-532.4777635306345
36,-556.502457419031
37,-564.4333309410556
38,-582.8183979236087
39,-582.0653252111023
40,-645.6495342231358
41,-669.4284481190913
42,-810.1412385585352
43,-872.6281237248611
44,-1042.7064555360669
45,-1356.0449929106414
46,-1643.4311152706546
47,-2866.7654167638184
48,-6758.544536569339
49,-3015.8186667162754
50,-2498.7157166178185
51,-1971.6986654197356
52,-1627.0195413768145
53,-1474.3126961528997
54,-1472.7949333731685
55,-1261.0195589919126
56,-1187.14485261698
57,-1052.8008069470961
58,-1138.0728319801099
59,-1131.7474019043173
60,-1049.429967134333
61,-961.1047722726739
62,-888.0835226658334
63,-935.9514458527818
64,-997.7686535999837
65,-867.4140697203476
66,-1027.368427764897
67,-962.3795068672803
68,-852.805220931778
69,-711.8196957068708
70,-843.605331474512
71,-893.9843242629725
72,-782.9435778391794
73,-758.7544671735784
74,-896.0047424750576
75,-737.6733425354802
76,-813.5043174012603
77,-823.1020146747809
78,-772.4860031025498
79,-793.9476076401596
80,-783.5278642147639
81,-763.2219326009026
82,-772.1697764223978
83,-843.4880542443516
84,-888.5596208968279
85,-796.5754754937539
86,-789.0468420989639
87,-796.9250071086288
88,-810.9264293826723
89,-789.8309123712274
90,-800.884261678603
91,-812.3029888015441
92,-823.7741908920075
93,-753.649184123726
94,-826.7372177178167
95,-886.3573335647702
96,-737.3245505983052
97,-749.0065365133048
98,-825.3730225408281
99,-792.9427972189733
100,-698.6171547119101
101,-745.8242787255562
102,-717.7208027503716
103,-715.1804792043137
104,-715.3328298708362
105,-636.6232189360061
106,-702.7781452425978
107,-626.9583182383951
108,-673.448053315089
109,-696.953991275122
110,-674.1747847482715
111,-654.5878894879907
112,-619.4515861065115
113,-615.0923721507025
114,-631.1898672186869
115,-659.1837451282289
116,-612.9249097506296
117,-658.3025945075884
118,-629.3366894701926
119,-638.0862090357703
120,-646.7111374604028
121,-652.8264755954651
122,-676.3993991153758
123,-676.8262868196912
124,-662.7328178599499
125,-669.2951223208867
126,-689.326407733365
127,-671.3882882208418
128,-654.4048752325912
129,-716.0160056860977
130,-717.8252784378967
131,-655.2777570596253
132,-692.2477545488784
133,-676.1942686308656
134,-661.418593701888
135,-710.1829408010173
136,-648.1240554248216
137,-673.5981035182706
138,-673.3824012576767
139,-659.8849814950556
140,-672.4736983545301
141,-677.3188305936535
142,-690.7779887136055
143,-688.2309637611008
144,-677.6249293224012
145,-659.4258475982107
146,-683.917302706724
147,-693.3815379772633
148,-647.5818291098628
149,-653.5759714248481
150,-656.8585846160187
151,-626.1396909225023
152,-665.2310817700942
153,-662.6831719945193
154,-690.6398092277975
155,-633.2590343254716
156,-608.1319281184674
157,-683.7569690977655
158,-652.512409826049
159,-684.258257897451
160,-668.5102834936705
161,-656.4322816059694
162,-749.9417082004147
163,-677.4670852844185
164,-705.0447941622521
165,-699.5049648835457
166,-705.2938903761467
167,-729.767247770485
168,-779.5208650020487
169,-689.659771760106
170,-1433.8601490862552
171,-1377.6095960567939
172,-1290.570321384985
173,-1245.4118748426226
174,-1223.514284119001
175,-1152.7797806893234
176,-1121.4956479389655
177,-1104.9119024033337
178,-1033.6000050296009
179,-998.4151327760045
180,-983.0812450787971
181,-913.7235622364415
182,-863.9133051093502
183,-846.8021530927904
184,-865.1675824273709
185,-764.6709641778394
186,-750.810710168704
187,-706.5425570737393
188,-674.2916737343769
189,-658.7958852335242
190,-634.7909681525589
191,-544.348901811929
192,-524.5622344299206
193,-458.61725434685286
194,-414.3036474208061
195,-414.8101991866183
196,-427.14761577286487
197,-394.29467575875793
198,-396.7126249612989
199,-429.3497066577266
200,-385.9676192717036
201,-415.9126514688192
202,-417.25498711183434
203,-413.2679559483367
204,-443.27144642818575
205,-425.43924609245914
206,-399.7281305942543
207,-403.0276519105949
208,-422.18754978840184
209,-421.3878087069095
210,-402.0219539741655
211,-438.1548836095039
212,-423.5364910191255
213,-419.41764124517215
214,-416.62834466677725
215,-439.80917032296145
216,-399.7831055651828
217,-402.73825247449645
218,-415.0892777669433
219,-403.3117267935658
220,-426.01494979423126
221,-422.42449693758675
222,-403.0618928555992
223,-413.5004700709751
224,-393.06063551281056
225,-391.38651536139133
226,-419.9698457169961
227,-408.5632132876075
228,-404.39987023382054
229,-412.16624026660315
230,-403.7225293920404
231,-415.2901006580084
232,-394.2632295785802
233,-420.6809536145392
234,-434.285202622831
235,-399.0867524610269
236,-395.431739795534
237,-426.7480883725652
238,-417.1719394148415
239,-414.86534547382763
240,-416.2355409536575
241,-406.6198894358605
242,-414.0905524575996
243,-428.2394681840153
244,-428.99289358297654
245,-417.4044161991902
246,-414.78113049504816
247,-418.137149102394
248,-453.98575094311025
249,-437.9272518344269
250,-451.2507918696019
251,-430.8232559653389
252,-451.0625185997761
253,-448.95467953970467
254,-468.108774412535
255,-464.7354710153873
256,-450.36954435347394
257,-523.8741141802159
258,-489.1121110348174
259,-529.3164617170764
260,-533.8322123324303
261,-596.8525201903035
262,-534.9446301079513
263,-1993.8942932928376
264,-553.446416386528
265,-618.1530398551783
266,-569.4448507027282
267,-559.6676142098594
268,-2693.24636022798
269,-561.8403359266767
270,-534.9789141827541
271,-1097.9511321647897
272,-612.2370632814345
273,-578.8261498922943
274,-689.2565641022547
275,-538.6643634063213
276,-993.1510712806787
277,-719.2906458935736
278,-1114.6686767814701
279,-907.3994380745437
280,-3338.630223560852
281,-911.1809252894542
282,-536.2080463957676
283,-3614.007701857023
284,-527.4301930311599
285,-526.3844284377121
286,-461.64647588288034
287,-550.7363604554273
288,-639.8976444515383
289,-450.81644100676556
290,-469.03636544970345
291,-457.8441015226577
292,-505.5334740761546
293,-465.34989413395664
294,-518.1725103630523
295,-480.3548660485558
296,-513.6800363766365
297,-547.759468927429
298,-559.1652463141795
299,-1206.308067004318
300,-4517.800821262752
301,-1265.3677500263852
302,-1512.342214992984
303,-6131.1603244323105
304,-489.3608483715947
305,-619.8075312763594
306,-751.6249350009612
307,-598.0447768515688
308,-535.4862544065786
309,-542.3589880117429
310,-518.087917008457
311,-392.74880081121427
312,-471.554248000665
313,-585.8293106182555
314,-4740.433084079093
315,-769.7810103654681
316,-685.8019056229908
317,-981.889375330736
318,-4750.034137208548
319,-4427.922216110866
320,-765.8316556174474
321,-3695.373095906869
322,-4285.048066912306
323,-881.239511882367
324,-3844.081775965638
325,-3393.3944808345104
326,-3576.2355907020565
