episode,total_reward
1,-708.9588010174808
2,-2022.5295782026747
3,-809.3557047872714
4,-591.5811806755283
5,-494.9317443373845
6,-463.27843752876134
7,-454.90264245781276
8,-429.35719508427565
9,-446.6441729385879
10,-409.6207340079876
11,-463.2474572425427
12,-442.81757049403075
13,-431.1107851173707
14,-420.5221457113557
15,-411.26345101120273
16,-420.61703741717133
17,-433.3810014310718
18,-423.15004908520746
19,-397.463702001393
20,-450.84092516119415
21,-443.95751453351374
22,-406.05692933294284
23,-447.20664843080954
24,-432.81450515653034
25,-405.7011065279087
26,-411.13339065531807
27,-414.9779629036061
28,-414.19753047497693
29,-412.34034835238447
30,-440.8534729028359
31,-415.8935095013814
32,-420.71145231295
33,-452.73180953136654
34,-425.2640892628315
35,-426.9219805772041
36,-438.1540297662707
37,-432.9505865215263
38,-391.44271632684416
39,-436.03545310414074
40,-423.11120563930524
41,-420.55357149435594
42,-412.88194010782195
43,-434.31906841498113
44,-424.6971587861428
45,-421.937036272479
46,-425.1649102878756
47,-418.3676816538418
48,-431.10426275716264
49,-447.4141724577078
50,-429.0400186109117
51,-423.548513628248
52,-435.48309669359503
53,-405.11045380873963
54,-441.1448759683258
55,-416.17607582627204
56,-392.1178782025567
57,-436.2843858828588
58,-427.79670516503506
59,-420.48140849017165
60,-433.47981279995474
61,-411.6322913769308
62,-434.30392786065124
63,-416.31330123855173
64,-430.04459394106686
65,-425.07502487414354
66,-424.88080414638193
67,-392.96891811911865
68,-432.21455482807664
69,-415.48287495205307
70,-415.400073742116
71,-415.07972524355307
72,-430.2116830376063
73,-417.52185032047623
74,-419.2776591331403
75,-427.13034697723265
76,-408.1647070676075
77,-410.9545568566696
78,-438.6201759091333
79,-415.83439589002353
80,-423.0062228007135
81,-429.4927268282958
82,-436.39801070284386
83,-421.37133009377203
84,-419.4632237092614
85,-418.94403626637717
86,-426.75718457245074
87,-432.7298643284465
88,-449.9919680329434
89,-440.0638415846769
90,-442.34440661639314
91,-420.08521968008785
92,-428.7877715961282
93,-436.12841711139185
94,-432.82641921061196
95,-423.13810190989255
96,-450.19849891097715
97,-422.10588049599187
98,-409.5964537430038
99,-414.33939081152505
100,-416.31163501602157
101,-408.0936331434639
102,-414.61043991869076
103,-429.2210888755992
104,-411.4204745925632
105,-425.012460453255
106,-402.8153925264302
107,-434.96133196606746
108,-408.1506513872405
109,-423.43993616880744
110,-415.01798147312707
111,-412.50331580442514
112,-424.273595334726
113,-411.988732240211
114,-415.97210830065467
115,-383.13730936075865
116,-412.7305343672348
117,-408.2797677562263
118,-412.9989941401135
119,-378.8051570833707
120,-403.2192459213686
121,-395.97205037318247
122,-374.8071505771335
123,-404.850958199635
124,-389.17546048814825
125,-416.6349936139225
126,-410.34196663004843
127,-397.242757034512
128,-386.9853708977978
129,-394.4158117514147
130,-392.0150061135628
131,-388.3357735106947
132,-397.27253715091945
133,-376.5905050636269
134,-409.96157178598577
135,-387.4613859205221
136,-390.61715358801973
137,-379.3516688877876
138,-408.791881394022
139,-403.3585217161089
140,-405.51796969225205
141,-422.2659072570753
142,-412.5640587560711
143,-403.35002309350136
144,-411.4521968658355
145,-416.748052214981
146,-414.3995505240357
147,-428.7848433561122
148,-407.4412466642956
149,-388.734292949406
150,-390.9445907769071
151,-449.5047407693757
152,-412.2386901022462
153,-412.5450304102994
154,-405.02730894517816
155,-403.22939336534887
156,-389.7233436847595
157,-394.76673436381907
