episode,total_reward
1,-327.3717754479761
2,-396.94161315096585
3,-396.3916692461283
4,-404.86152722031807
5,-408.5449170988015
6,-442.7774828147353
7,-420.2119129322286
8,-429.55903587127375
9,-463.38684352290954
10,-510.3188040938042
11,-645.344689633853
12,-802.2830942404839
13,-1013.9788648747924
14,-1258.7976464378833
15,-1499.1608171761764
16,-1841.1391308204352
17,-1834.5256472271394
18,-1595.3420391536063
19,-1605.14811505488
20,-1438.1123685527787
21,-1223.7912932972392
22,-1163.9316409903436
23,-1090.2470966845444
24,-998.0780313775931
25,-930.5706541488381
26,-909.1312711528765
27,-795.1236047468778
28,-721.4409047056508
29,-623.8435047241733
30,-581.4185268531669
31,-480.8643085755488
32,-451.14786809473503
33,-402.29111793385727
34,-441.81360329404384
35,-397.97510087963263
36,-376.67933781644217
37,-418.2089188641306
38,-392.3634348374944
39,-398.8593554255953
40,-382.5023233710044
41,-397.9762601994722
42,-389.0760333054969
43,-408.04517317714624
44,-413.3173007288097
45,-387.29888364992314
46,-416.39697601808626
47,-403.1079262017985
48,-395.9909724916042
49,-408.1945497458588
50,-405.81904302543194
51,-414.3789009737445
52,-400.56082171066896
53,-414.0769005308014
54,-419.548864767786
55,-420.15603465465284
56,-390.8952108452507
57,-410.52987181620233
58,-412.9902167757259
59,-404.67480073139336
60,-396.31600146316885
61,-420.84173731089584
62,-395.8630212424563
63,-409.2201829085201
64,-409.0212894936943
65,-411.1712455759291
66,-402.95291349122766
67,-404.06175437540594
68,-390.3327031150006
69,-427.8353588099441
70,-429.4818899430335
71,-410.98942195827055
72,-386.64067166913844
73,-428.81312580090184
74,-408.2977129493595
75,-411.8040769650129
76,-413.9934580533764
77,-435.37207122945216
78,-419.7167875823118
79,-445.33877660762766
80,-412.51398473780944
81,-425.98334538494623
82,-432.65044629770347
83,-394.5565537362136
84,-395.22163414461244
85,-408.21102977032
86,-417.26210457422235
87,-413.7617058305634
88,-413.4827032354672
89,-434.25137373065877
90,-427.58861538658573
91,-421.9440314734337
92,-453.8390249144903
93,-420.0597255161325
94,-414.429953592789
95,-414.0993266553279
96,-425.68728876392663
97,-427.03464104019054
98,-430.66106890953955
99,-407.26825577741374
100,-413.09032972080536
101,-410.57116895220673
102,-421.2452662828747
103,-429.3935079049053
104,-415.86754954591
105,-392.3839383305359
106,-425.02537359182804
107,-422.85449861989804
108,-422.0706276644256
109,-412.59780789939845
110,-420.3654894272042
111,-428.1744580779451
112,-423.922777990605
113,-432.67015351263404
114,-405.2840454781093
115,-421.7375157002722
116,-386.46717986038993
117,-407.38561935999815
118,-402.5489987242822
119,-403.00581305382923
120,-467.96018412083515
121,-398.1320308739553
122,-393.7229351822466
123,-421.5496017407571
124,-417.89760945313134
125,-444.820243885139
126,-402.7004586583593
127,-420.5462021991635
128,-403.6019018498828
129,-395.96335424454907
130,-389.64665079941915
131,-399.29545931296224
132,-402.25147630115254
133,-408.57117360892903
134,-438.4915981853927
135,-393.1026852341213
136,-403.0345872858904
137,-407.58244048932534
138,-395.40514495789387
139,-393.10809520141856
140,-400.71473101502477
141,-382.9753187263873
142,-402.7821581085708
143,-404.7492802816965
144,-430.73127332562217
145,-429.7645238409837
146,-400.4977208591484
147,-393.2639192821653
148,-415.93422587316786
149,-417.177903091404
150,-427.12500764192356
151,-460.0655669137339
152,-466.57789974193724
153,-533.9907766731736
154,-711.0222123134808
155,-1012.2688337727558
156,-2090.7651077248543
157,-1434.5515768442046
158,-1031.7904209385358
159,-882.9762663032909
160,-908.2267697483263
161,-847.8786693386212
162,-826.3802357179843
163,-832.6415033965177
164,-829.154086133894
165,-827.5439936443175
166,-785.3878149229281
167,-818.3201201061252
168,-1834.0213805812195
169,-826.8335608500706
170,-860.7794816396098
171,-1719.1218574564061
172,-1670.6410143692485
173,-1603.0524562976811
174,-1565.7984378956883
175,-1572.2007136393645
176,-1624.5355249911615
177,-1640.5436982585886
178,-1712.132443431006
179,-1611.7106143036456
180,-1774.146605504825
181,-772.7235468786528
182,-832.7854039465352
183,-847.878811112356
184,-836.1047760395434
185,-774.2590462893418
186,-729.9284024517483
187,-797.6057501863656
188,-863.7877388802607
189,-870.1820628711331
190,-850.7482105364593
191,-875.2924213322809
192,-862.18391936458
193,-908.90106238785
194,-997.5679345426391
195,-975.1676647549895
196,-1086.1783038822346
197,-1324.7408953918964
198,-7833.613822279488
199,-2219.034853259108
200,-1501.4084717373148
201,-1081.158557941788
202,-806.9770506249793
203,-747.4463375627922
204,-778.8379510310415
205,-706.4004354848344
206,-757.540222256205
207,-753.0275967947983
208,-721.0907139272933
209,-706.8561828478898
210,-670.1621968740728
211,-684.1792800955975
212,-617.8318938084965
213,-614.750261143879
214,-574.6598557250119
215,-521.7429890442056
216,-497.3120736705134
217,-459.33094028261326
218,-450.60505211071086
219,-422.2769224491385
220,-442.93371690172887
221,-431.80034919372196
222,-419.6520486160583
223,-396.20909448342036
224,-440.08131858042583
225,-403.0266570705347
226,-466.7503883609369
227,-476.5411038806593
228,-487.71977674770926
229,-516.5129431990198
230,-620.0618593774258
231,-592.1749603632306
232,-641.5055341854021
233,-656.2313584176595
234,-672.6394138699333
235,-710.8991144070303
236,-755.5178516166375
237,-703.6985998705115
238,-758.5493298728444
239,-896.1811467160337
240,-778.146776127739
241,-790.348293052419
242,-760.5315732661131
243,-807.1635601275273
244,-800.8067577300088
245,-778.6137435737986
246,-765.5471421423056
247,-728.7849172241132
248,-784.5521518036555
249,-764.3593623358433
250,-826.438931918756
251,-789.1762146955203
252,-718.3220860923203
253,-586.9261212841388
254,-500.4047318498336
255,-459.10813501963395
256,-486.1817756215021
257,-432.32260037720454
258,-457.61985757195004
259,-425.5858137311107
260,-433.7382744155187
261,-430.4569823078981
262,-396.2692533293218
263,-442.7687285510064
264,-446.3937817537384
265,-424.05139078926146
266,-424.6899105738918
267,-456.12786119710506
268,-458.8966468863182
269,-486.3521430908968
270,-545.6385513118017
271,-592.0342977585714
272,-632.171161826628
273,-867.2797759199492
274,-760.4412297057968
275,-839.5343621870426
276,-784.8080997970144
277,-859.5956230368568
278,-943.8893956289187
279,-1143.3950010698907
280,-1145.7357869748366
281,-1377.9538664792542
282,-1613.4897127083939
283,-1938.0559937668663
284,-976.1502043835544
285,-967.4625880026124
286,-946.0688242716636
287,-1126.1717013412679
288,-1210.2478087607833
289,-1222.9937427397467
290,-1270.5682734357156
291,-2654.278712616542
292,-2606.538103708396
293,-2080.6167521046164
294,-1542.4521387394877
295,-741.949730287041
296,-1084.840938444555
297,-445.507246747668
298,-442.5460750303296
299,-471.85972696609934
300,-465.7935410083454
301,-443.68601812025213
302,-449.8429064831935
303,-438.4470364061624
304,-442.54864727175436
305,-465.00917102529934
306,-527.146992645361
307,-491.69788580596884
308,-576.3859297781307
309,-759.9323252821873
310,-835.1445678312978
311,-907.1149656933673
312,-1057.5003991171864
313,-1109.2023458204062
314,-1100.7009511722554
315,-1016.4472321757706
316,-1077.0401432894992
317,-1244.799179979729
318,-1193.9443733713913
319,-1205.926093021637
320,-1269.648128001675
321,-1509.1292470523517
322,-1428.1932698899886
323,-1604.3894182774445
324,-1758.8643707010954
325,-1953.9817312983091
326,-2390.9080091497704
327,-2991.3325097901507
328,-1029.8415884908932
329,-862.2380899674567
330,-837.3977014747322
331,-943.2836477946373
332,-934.9419456202443
333,-864.6705515089434
334,-924.6498387514001
335,-895.5960892039282
336,-843.6221845843684
337,-840.1328076833993
338,-917.2428933580074
339,-843.7057704723107
340,-937.7149306548414
341,-870.0545499094014
342,-890.2463827278309
343,-960.318324951377
344,-967.6076527501679
345,-922.637659473293
346,-1051.5244778490405
347,-1104.1434605350964
348,-5098.661368144096
349,-5183.863648725198
350,-6901.307378976705
351,-6828.009646466805
352,-7012.344359757695
353,-1756.9673556904015
354,-1538.2464912351402
355,-1209.143103308182
356,-530.1390857267434
357,-483.17654034421867
358,-464.226012993118
359,-427.5678903948486
360,-444.6313713235256
361,-416.71917342669974
362,-412.3264920876785
363,-431.4562999195289
364,-405.3456559431281
365,-441.07937875981315
366,-436.6757810471691
367,-406.50711678817026
368,-445.8717969144302
369,-433.3737659720776
370,-428.2592769081125
371,-430.4756402786769
372,-420.201651214737
373,-426.66136320565
374,-390.5699398852481
375,-405.2774823819132
376,-415.76843059894475
377,-429.86679871937935
378,-455.706935904687
379,-428.03188653932915
380,-462.9873791576182
381,-423.712398704454
382,-410.9509276697912
383,-435.49280047735044
384,-447.6469576364912
385,-427.02681399559833
386,-427.4493803988746
387,-425.30861262730605
388,-428.2728114252256
389,-427.60547573770737
390,-431.5910910950487
391,-414.98123179850273
392,-432.73572715389537
393,-420.4480932069273
394,-423.76867656189575
395,-459.87109721522813
396,-412.6230116299125
397,-425.06995172016826
398,-415.0198818397756
399,-426.5441849625807
400,-431.3442973176559
401,-408.4816790498752
402,-410.424330655579
403,-427.2246027720821
404,-425.6360718839352
405,-425.0458241690254
406,-417.5240304004249
407,-422.3111321572085
408,-430.5750808785175
409,-409.38975094919397
410,-391.2039015739554
411,-434.8735371599117
412,-431.9254527528194
413,-408.31069933900204
414,-410.9177193877003
415,-432.927622637739
416,-406.8453656199339
417,-420.2475512101248
418,-427.30457227691284
419,-430.98055431908733
420,-403.7495955189682
421,-442.7651810562155
422,-416.93544720239663
423,-438.6918123061486
424,-435.14641239230053
425,-422.8302308493582
426,-434.24119575156163
427,-419.48829325202223
428,-417.10985823273955
429,-413.03976414955116
430,-406.15149274905605
431,-417.5971654410123
432,-405.3565352175721
433,-397.2471519907324
434,-406.42449683843535
435,-414.7674062935391
436,-392.38722769950425
437,-396.5125983785258
438,-390.3041304475876
439,-416.294659898987
440,-404.51910657322463
441,-401.19358383232554
442,-407.48008263670795
443,-415.2721336304154
444,-405.3168403363039
445,-392.99249398308916
446,-405.3109164153339
447,-393.4512234457241
448,-393.27317397251096
449,-402.57098427175856
450,-404.0705350949564
451,-394.85372682161903
452,-384.1839071096824
453,-410.3761464079293
454,-408.5983072724675
455,-407.6249768556456
456,-407.1889705500986
457,-411.59346550339865
458,-408.71397218225405
459,-401.6200521815318
460,-409.8514433424796
461,-401.4596785785711
462,-407.17768957183057
463,-424.1844179955642
464,-419.07261416476473
