episode,total_reward
1,-365.28897254244333
2,-422.11872109478054
3,-422.52545519282785
4,-405.36508260522976
5,-430.7166227287338
6,-414.72815709920906
7,-407.3318393746972
8,-407.1866810719099
9,-428.7550627812027
10,-393.08991859557057
11,-410.1496704690164
12,-367.24760127226114
13,-391.5073841536651
14,-405.151125019012
15,-385.33759955920823
16,-413.5508265915263
17,-395.49353357445835
18,-407.994431107439
19,-393.4323021952573
20,-394.07679864854106
21,-414.51752390375685
22,-390.28277319722565
23,-410.29399135470396
24,-441.39605629654477
25,-410.59683393573937
26,-399.3579799549568
27,-385.48237804260424
28,-389.3556829318895
29,-391.2457868328274
30,-428.86299108769435
31,-393.55651652113715
32,-399.03461656265165
33,-420.4761357261943
34,-447.81289439311956
35,-417.4203720408214
36,-424.77617490701215
37,-409.26335472006804
38,-395.69952391268635
39,-376.40418437105336
40,-409.0005494937519
41,-420.50292550530264
42,-390.05058128130344
43,-394.4653084250788
44,-399.95836385998496
45,-408.0762629913945
46,-386.8960283612921
47,-386.7094149974024
48,-395.03913159947115
49,-405.0029092703667
50,-405.89207426847065
51,-390.07864626227047
52,-408.8724298728144
53,-424.1181216871882
54,-398.1560754370819
55,-457.0931138275529
56,-439.22846917214326
57,-419.74959602730956
58,-472.6413308790851
59,-492.8231605306694
60,-619.064261534043
61,-8938.55239135371
62,-3318.8390461316753
63,-1456.7742185653842
64,-1183.0506678268362
65,-980.8741634783881
66,-895.5141737970441
67,-898.9303625134831
68,-881.6521792481573
69,-1007.058731903702
70,-916.7917555548186
71,-949.4620448242574
72,-965.0755507491635
73,-899.8640303522427
74,-959.8078478064896
75,-919.2040525443078
76,-945.1877127184187
77,-962.0803180340725
78,-945.9409413527432
79,-860.933475294667
80,-913.2460427154926
81,-880.0556754795184
82,-913.4646551645767
83,-915.8644280619889
84,-935.9037655660755
85,-881.3394994455676
86,-878.3466860024812
87,-908.0250744833362
88,-939.9729385374435
89,-896.2521756092424
90,-962.3596089497807
91,-849.5608999472103
92,-879.9409548412215
93,-878.7328207263627
94,-857.6081543714511
95,-842.3420016326854
96,-941.9658689346784
97,-904.1869345488906
98,-904.5889328008371
99,-866.3276204709284
100,-889.4026230515929
101,-917.6086350988478
102,-927.8335571599762
103,-885.5074896176325
104,-859.6368295048937
105,-936.1970803153688
106,-882.285128445237
107,-848.3650496231085
108,-864.1555104526196
109,-841.7749576579108
110,-929.140003592469
111,-949.2053985981076
112,-860.2220932941839
113,-856.4756406514693
114,-878.5288656927976
115,-994.5394849752671
116,-805.9028862176206
117,-925.350394871382
118,-855.4895647722944
119,-845.4752027529653
120,-850.3330789801178
121,-908.4869298239585
122,-937.3093634552638
123,-878.5988774667618
124,-997.8329172758765
125,-897.6113965493809
126,-1017.4198182040718
127,-926.7383307736959
128,-883.4127920460928
129,-898.1634023359942
130,-849.9934251684194
131,-886.9452856836346
132,-858.394014173612
133,-906.981269035709
134,-1257.397855448421
135,-877.0321777838673
136,-943.0896464848753
137,-883.132625988505
138,-876.0694857651359
139,-901.581728337728
140,-841.1204384770529
141,-883.6659438731978
142,-933.4930298607161
143,-864.6632462695784
144,-938.8539133764255
145,-905.1982452407964
146,-938.4644678999998
147,-929.3442341797409
148,-927.4982491557947
149,-868.2542303484033
150,-876.6238556576031
151,-882.5511251430913
152,-861.7448000426733
153,-988.0431581264199
154,-832.359330552907
155,-933.5896235927586
156,-932.7953010467929
157,-955.2196258686886
158,-955.4412074480543
159,-941.664807659119
160,-941.3827939245058
161,-938.6060389453362
162,-849.1952412107676
163,-890.8593095465648
164,-941.5982819091885
165,-874.0563840877438
166,-885.039883542229
167,-905.422252085074
168,-882.658445258003
169,-851.633196892517
170,-960.3654433970577
171,-902.3501712530897
172,-971.3534051298902
173,-814.2407500590184
174,-833.968715117973
175,-995.4502622339779
176,-879.2745071804766
177,-857.0087238556835
178,-877.828201770502
179,-836.1919776840355
180,-895.494933286841
181,-907.9967742859957
182,-918.2729981145427
183,-942.0544663277597
184,-934.1767005057114
185,-967.7892606616306
186,-899.4745537828898
187,-940.5905967414365
188,-985.826863242876
189,-953.1946955698038
190,-925.4935086488565
191,-969.5008649146074
192,-869.3007976473895
193,-853.3642111575294
194,-850.619809929613
195,-831.2758395683902
196,-924.3196347904901
197,-884.864128167425
198,-922.4227927027315
199,-899.0280995605091
200,-952.6336485259835
201,-905.79252344694
202,-908.9722161191534
203,-977.9546059782255
204,-895.5191355689608
205,-932.1966833407955
206,-912.7166267506233
207,-886.4085858453591
208,-889.2270580685863
209,-981.0134653307597
210,-884.046655655599
211,-858.4630868145706
212,-895.9516057042581
213,-895.1773337016288
214,-990.5253052131819
215,-935.9217694520455
216,-902.2843283751691
217,-901.1539476775858
218,-908.597791088832
219,-924.0692486520411
220,-865.4249021165531
221,-926.8486095520743
222,-889.6069665877346
223,-908.0656102634324
224,-889.8737435476845
225,-958.2906194790512
226,-858.7622082860688
227,-895.0683525448894
228,-881.7512418259072
229,-951.1676499575403
230,-946.2686671677039
231,-875.5306865485177
232,-911.1647310733489
233,-896.0144378966642
234,-892.8540809896634
235,-885.6185373767152
236,-891.6836413399393
237,-897.7068621861807
238,-847.8424846723867
239,-911.9957749034577
240,-801.6223996179241
241,-840.3545750656003
242,-881.246655107212
243,-911.5445616184015
244,-884.182465210798
245,-939.18365709569
246,-899.8248383270941
247,-907.2977364695726
248,-961.481414643804
249,-905.5870310087412
250,-899.2791882346746
251,-976.4516818547752
252,-946.0268481020327
253,-905.550575975057
254,-926.5610467815891
255,-903.3891622349638
256,-940.6983778468591
257,-841.2309135274704
258,-1071.8072476458185
259,-920.3567650053203
260,-931.1971235796952
261,-967.9755193176883
262,-925.8753196134253
263,-891.7634559860608
264,-936.6324905585552
265,-944.3283315846132
266,-913.9510622971125
267,-853.8365725798624
268,-888.614669589475
269,-916.565833475662
270,-933.9609443498922
271,-915.8229641162418
272,-914.9079031155845
273,-955.8407380706489
274,-911.2973877695337
275,-947.5506728896501
276,-846.2546164965543
277,-917.2014064221023
278,-902.9052870740302
279,-832.6945135040546
280,-894.0126935473016
281,-926.4562042081434
282,-906.1435597082121
283,-931.9690991212891
284,-881.5381446653977
285,-843.0064442700161
286,-910.6832572432883
287,-846.978891157009
288,-938.0033523445071
289,-892.9345202595574
290,-972.5293336335316
291,-881.3358174723018
292,-903.0265778881409
293,-965.9755895014648
294,-900.1190866589192
295,-985.3878446648113
296,-932.3495683485344
297,-871.9549516249604
298,-843.2043083548581
299,-926.6692488511751
300,-916.1575520000454
301,-953.3867374791125
302,-875.0787056914576
303,-929.3417033168291
304,-1021.1604300898771
305,-927.9040246999266
306,-954.2413625332979
307,-978.9502019321465
308,-885.1774389263021
309,-916.2764634402533
310,-894.2073325216394
311,-894.3830800286223
312,-967.430189113705
313,-855.0571265492483
314,-868.4265202434244
315,-893.546406861188
316,-875.6410460411258
317,-897.8940150991284
318,-905.3106815563186
319,-893.8509659149839
320,-883.281640791223
321,-911.702886206996
322,-871.1264789909031
323,-912.623026890147
324,-894.3450883627227
325,-898.3684032129479
