episode,total_reward
1,-1388.527220055461
2,-1495.173449628055
3,-1495.9236551448703
4,-1505.2228044718504
5,-1504.654518701136
6,-1495.7199787572026
7,-1506.5147583857179
8,-1504.245513677597
9,-1505.8000082969666
10,-1495.219214901328
11,-1406.572430074215
12,-1506.0246488824487
13,-1424.2032013684511
14,-1406.335303030908
15,-1446.432815156877
16,-1437.128578223288
17,-1465.4251656867564
18,-1474.8156045675278
19,-1446.110342361033
20,-1505.2391953095794
21,-1474.5075238719583
22,-1506.3729246407747
23,-1495.0884759277105
24,-1506.057433269918
25,-1464.7400929927826
26,-1503.7654636353254
27,-1476.209138005972
28,-1484.7278462275863
29,-1504.759455665946
30,-1445.7096546515822
31,-1506.706646218896
32,-1504.3271162360907
33,-1504.5423811376095
34,-1504.5768568515778
35,-1436.2935633957386
36,-1504.7331579476595
37,-1503.688247203827
38,-1505.8080024048686
39,-1494.8776489198208
40,-1466.362109914422
41,-1505.6726197078824
42,-1505.8811409696937
43,-1505.695138975978
44,-1506.1810658201575
45,-1505.7157273739576
46,-1485.638998016715
47,-1495.4186895415187
48,-1494.9447665810585
49,-1493.8825892359018
50,-1495.081179767847
51,-1503.270813845098
52,-1505.5655546486378
53,-1476.4747118130326
54,-1454.9747892692685
55,-1495.4138309434056
56,-1494.7902072742581
57,-1493.978288397193
58,-1495.779126651585
59,-1495.0071272552013
60,-1494.6047040522099
61,-1495.871804445982
62,-1495.983667716384
63,-1494.5987080186605
64,-1494.0737861916423
65,-1485.2641805112362
66,-1503.7740366086364
67,-1506.6168250963092
68,-1494.5620180740952
69,-1495.7684395685792
70,-1495.0931596532464
71,-1503.8052148595452
72,-1505.2937053069472
73,-1494.298468053341
74,-1427.0668887197971
75,-1494.2737310379744
76,-1504.1201997473836
77,-1476.397101931274
78,-1495.0204102769494
79,-1495.0775622874498
80,-1504.4940586313605
81,-1505.043486379087
82,-1503.4608889073133
83,-1505.0963780581951
84,-1504.634197153151
85,-1493.8843927010894
86,-1504.3454723358154
87,-1495.2549672201276
88,-1496.850276812911
89,-1504.415419679135
90,-1513.3352680206299
91,-1503.7710635438561
92,-1451.1191348135471
93,-1502.4939385652542
94,-1505.8335264846683
95,-1504.5546682551503
96,-1492.7808600068092
97,-1504.8847555965185
98,-1493.679324299097
99,-1501.8055458180606
100,-1502.6778883114457
101,-1505.0927790999413
102,-1493.7734401896596
103,-1502.1218353435397
104,-1501.6061279773712
105,-1510.0138557553291
106,-1493.3508272245526
107,-1502.2415456324816
108,-1504.5181290507317
109,-1498.3353594690561
110,-1491.281132094562
111,-1486.9356082864106
112,-1485.1394326761365
113,-1486.355164565146
114,-1485.701925382018
115,-1477.7551686763763
116,-1492.0340062566102
117,-1476.564509615302
118,-1484.3395766690373
119,-1480.00784342736
120,-1491.0338264033198
121,-1454.5493015274405
122,-1378.0936020463705
123,-1309.1025277003646
124,-1229.4017332792282
125,-1219.9954066574574
126,-907.8849167823792
127,-1127.0928601920605
128,-951.9119976758957
129,-868.471578836441
130,-652.9901522397995
131,-792.5603688657284
132,-874.2960454821587
133,-628.9559603333473
134,-736.7045614421368
135,-614.6074714064598
136,-566.0089246630669
137,-574.7606053948402
138,-576.6706842184067
139,-574.8326386809349
140,-597.5734331011772
141,-568.0240141451359
142,-570.8654553890228
143,-590.9902904033661
144,-583.2809034883976
145,-580.109083533287
146,-589.1236938238144
147,-568.3682424426079
148,-582.0879114866257
149,-600.9746821522713
150,-553.4695628285408
151,-569.9116868078709
152,-562.0959918498993
153,-571.041435778141
154,-597.1158133149147
155,-580.5259628891945
156,-583.2072611451149
157,-567.9389490485191
158,-572.6550705730915
159,-575.1772108674049
160,-573.8163605034351
161,-572.9527383446693
162,-575.7751680612564
163,-563.3328655958176
164,-568.8759558498859
165,-580.3411750793457
166,-544.2061004042625
167,-581.3448266983032
168,-569.5968565642834
169,-591.9816400110722
170,-577.8007716834545
171,-553.7736541628838
172,-562.4778308272362
173,-552.4052681326866
174,-575.7111605405807
175,-562.7094859480858
176,-589.1202313750982
177,-572.0069616734982
178,-585.7025934159756
179,-559.0636512637138
180,-570.1146801710129
181,-549.5489074587822
182,-584.8515678346157
183,-569.2267525494099
184,-588.4827519655228
185,-561.3567681908607
186,-565.9440989494324
187,-495.26980489492416
188,-593.3446171581745
189,-566.9688962697983
190,-577.1362296938896
191,-565.4530048072338
192,-576.0485088229179
193,-603.9252776801586
194,-565.0363232493401
195,-575.7558053433895
196,-562.3195462822914
197,-565.2171942591667
198,-572.7690069973469
199,-582.7671976983547
200,-566.6869098544121
201,-579.0359255969524
202,-568.5610126256943
203,-570.0168940424919
204,-584.1789365708828
205,-556.5246216058731
206,-577.8165973722935
207,-576.2090299129486
208,-571.9766489863396
209,-596.2714191675186
210,-602.1941794902086
211,-574.7165041863918
212,-566.8746257126331
213,-572.741288036108
214,-603.7055624425411
215,-569.3197429776192
216,-588.2202953100204
217,-580.2022926211357
218,-570.0417274832726
219,-586.0507289171219
220,-572.8720714449883
221,-571.4478374421597
222,-574.5489455461502
223,-596.9739421606064
224,-568.929797410965
225,-571.507532119751
226,-585.0473947823048
227,-570.8825685679913
228,-576.6743169426918
229,-609.1941127181053
230,-565.5954347848892
231,-569.3771718740463
232,-563.896902680397
233,-562.3915684819221
234,-599.1640478074551
235,-581.077918112278
236,-566.653837621212
237,-573.693865954876
238,-591.2564648985863
239,-585.670646071434
240,-588.0064136385918
241,-591.6476543843746
242,-594.9752309918404
243,-560.8146870136261
244,-585.276786595583
245,-589.2077646255493
246,-563.7801797986031
247,-556.873010635376
248,-590.2466054558754
249,-578.6688778400421
250,-591.4388421475887
251,-563.0428559780121
252,-579.8089016079903
253,-577.0040750205517
254,-571.612090408802
255,-615.307746976614
256,-536.8651441931725
257,-575.7544875741005
258,-562.8560495972633
259,-568.6225226819515
260,-553.1437972784042
261,-567.7933738827705
262,-608.163365393877
263,-580.1169025599957
264,-575.885494351387
265,-562.812867641449
266,-604.3543820977211
267,-584.630471765995
268,-576.9758452475071
269,-565.1811766028404
270,-573.2664687037468
271,-580.7267618775368
272,-571.0535452961922
273,-565.5042481124401
274,-556.4517617821693
275,-567.0061020255089
276,-528.4814396202564
277,-593.827074855566
278,-546.615764439106
279,-564.0782045423985
280,-583.6776013672352
281,-596.5141563415527
282,-616.1135719120502
283,-556.6556823849678
284,-562.8754949867725
285,-567.872423350811
286,-552.7819609642029
287,-567.848899781704
288,-571.7803546786308
289,-580.0665313005447
290,-560.5911921262741
291,-569.9450808763504
292,-620.7032904326916
293,-583.3530429899693
294,-563.77317532897
295,-569.7287944257259
296,-564.7548501193523
297,-504.13723772764206
298,-471.7379468679428
299,-565.516293078661
300,-552.2605847716331
